"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.51,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.35,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",27.13,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",16.57,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",26.47,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",20,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",24.61,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",18.25,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",55.07,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-01T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",20250.99,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",26.32,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",16.44,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",25.13,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",23.48,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",15.89,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",13.03,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",58,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-01T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",13646.7,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",46.96,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",34.9,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",36.3,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",18.24,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",17.67,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",13.74,"provisorisch"
"2023-01-01T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",49.97,"provisorisch"
