Datum,Year,Street,NO,NO2,NOx,O3,O3_max_h1,O3_nb_h1>120,PM10,PM2.5,CO,SO2,PN
2013-10-04T00:00+0100,2013,Zch_Rosengartenstrasse,99.35,39.0,100.05,3.53,7.29,0.0,24.97,,,,
2013-10-05T00:00+0100,2013,Zch_Rosengartenstrasse,41.38,34.32,51.12,28.38,57.44,0.0,11.29,,,,
2013-10-06T00:00+0100,2013,Zch_Rosengartenstrasse,21.16,29.13,32.2,31.23,40.6,0.0,,,,,
2013-10-07T00:00+0100,2013,Zch_Rosengartenstrasse,50.96,35.23,59.28,14.84,33.11,0.0,,,,,
2013-10-08T00:00+0100,2013,Zch_Rosengartenstrasse,50.94,36.84,60.1,6.9,14.7,0.0,33.83,,,,
2013-10-09T00:00+0100,2013,Zch_Rosengartenstrasse,60.87,50.68,75.3,12.6,31.86,0.0,27.61,,,,
2013-10-10T00:00+0100,2013,Zch_Rosengartenstrasse,64.45,54.3,80.07,22.64,34.37,0.0,14.43,,,,
2013-10-11T00:00+0100,2013,Zch_Rosengartenstrasse,59.79,47.14,72.59,17.83,44.47,0.0,,,,,
2013-10-12T00:00+0100,2013,Zch_Rosengartenstrasse,30.08,37.28,43.61,19.99,48.5,0.0,,,,,
2013-10-13T00:00+0100,2013,Zch_Rosengartenstrasse,21.24,34.65,35.15,32.48,58.58,0.0,,,,,
2013-10-14T00:00+0100,2013,Zch_Rosengartenstrasse,72.33,55.51,87.02,15.23,31.74,0.0,,,,,
2013-10-15T00:00+0100,2013,Zch_Rosengartenstrasse,64.68,50.12,78.07,29.03,47.19,0.0,16.56,,,,
2013-10-16T00:00+0100,2013,Zch_Rosengartenstrasse,50.62,55.52,69.61,24.54,57.77,0.0,12.65,,,,
2013-10-17T00:00+0100,2013,Zch_Rosengartenstrasse,57.23,57.8,76.11,20.82,48.69,0.0,41.62,,,,
2013-10-18T00:00+0100,2013,Zch_Rosengartenstrasse,66.55,49.73,79.37,11.63,38.23,0.0,,,,,
2013-10-19T00:00+0100,2013,Zch_Rosengartenstrasse,56.19,45.72,68.96,11.2,41.01,0.0,22.72,,,,
2013-10-20T00:00+0100,2013,Zch_Rosengartenstrasse,28.6,41.21,44.48,18.61,47.63,0.0,15.08,,,,
2013-10-21T00:00+0100,2013,Zch_Rosengartenstrasse,76.81,49.1,87.26,8.41,23.18,0.0,18.34,,,,
2013-10-22T00:00+0100,2013,Zch_Rosengartenstrasse,97.76,46.25,102.57,3.93,9.61,0.0,25.16,,,,
2013-10-23T00:00+0100,2013,Zch_Rosengartenstrasse,79.09,60.2,94.89,8.81,21.95,0.0,27.82,,,,
2013-10-24T00:00+0100,2013,Zch_Rosengartenstrasse,84.53,47.84,92.79,7.51,23.54,0.0,24.6,,,,
2013-10-25T00:00+0100,2013,Zch_Rosengartenstrasse,71.48,42.15,79.35,4.41,11.79,0.0,21.89,,,,
2013-10-26T00:00+0100,2013,Zch_Rosengartenstrasse,99.19,52.42,106.94,7.22,26.61,0.0,24.75,,,,
2013-10-27T00:00+0100,2013,Zch_Rosengartenstrasse,23.78,31.39,35.48,35.45,61.94,0.0,13.83,,,,
2013-10-28T00:00+0100,2013,Zch_Rosengartenstrasse,58.82,51.37,74.02,33.46,54.31,0.0,17.92,,,,
2013-10-29T00:00+0100,2013,Zch_Rosengartenstrasse,58.05,57.56,76.64,28.9,57.34,0.0,13.05,,,,
2013-10-30T00:00+0100,2013,Zch_Rosengartenstrasse,47.23,57.94,68.17,19.69,49.39,0.0,16.78,,,,
2013-10-31T00:00+0100,2013,Zch_Rosengartenstrasse,76.02,50.15,87.17,9.8,26.05,0.0,25.99,,,,
2013-11-01T00:00+0100,2013,Zch_Rosengartenstrasse,135.28,49.05,134.11,2.6,3.75,0.0,37.26,,,,
2013-11-02T00:00+0100,2013,Zch_Rosengartenstrasse,57.39,38.83,66.32,25.4,52.61,0.0,18.97,,,,
2013-11-03T00:00+0100,2013,Zch_Rosengartenstrasse,18.73,32.17,31.84,49.39,73.65,0.0,8.59,,,,
2013-11-04T00:00+0100,2013,Zch_Rosengartenstrasse,58.26,51.82,73.81,28.21,45.07,0.0,10.0,,,,
2013-11-05T00:00+0100,2013,Zch_Rosengartenstrasse,49.34,44.08,62.61,30.13,52.0,0.0,15.28,,,,
2013-11-06T00:00+0100,2013,Zch_Rosengartenstrasse,39.03,35.74,49.98,45.34,68.31,0.0,8.85,,,,
2013-11-07T00:00+0100,2013,Zch_Rosengartenstrasse,76.07,56.45,90.51,22.82,55.07,0.0,15.43,,,,
