Datum,Year,Street,RainDur,T,T_max_h1,p,StrGlo
2013-10-04T00:00+0100,2013,Zch_Rosengartenstrasse,191.77,,,969.68,
2013-10-05T00:00+0100,2013,Zch_Rosengartenstrasse,84.13,,,968.27,
2013-10-06T00:00+0100,2013,Zch_Rosengartenstrasse,147.52,,,973.08,
2013-10-07T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,,,973.86,
2013-10-08T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,,,973.71,
2013-10-09T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,,,970.63,
2013-10-10T00:00+0100,2013,Zch_Rosengartenstrasse,139.18,8.99,13.01,961.82,
2013-10-11T00:00+0100,2013,Zch_Rosengartenstrasse,43.47,7.56,9.3,963.17,
2013-10-12T00:00+0100,2013,Zch_Rosengartenstrasse,75.12,7.82,10.48,965.94,
2013-10-13T00:00+0100,2013,Zch_Rosengartenstrasse,50.57,10.27,13.86,969.63,
2013-10-14T00:00+0100,2013,Zch_Rosengartenstrasse,63.63,12.45,15.2,968.57,
2013-10-15T00:00+0100,2013,Zch_Rosengartenstrasse,234.38,13.42,16.7,963.46,
2013-10-16T00:00+0100,2013,Zch_Rosengartenstrasse,5.27,12.11,14.91,965.29,
2013-10-17T00:00+0100,2013,Zch_Rosengartenstrasse,119.88,13.21,16.44,969.54,
2013-10-18T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,11.69,16.11,968.38,
2013-10-19T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,13.65,19.08,967.17,
2013-10-20T00:00+0100,2013,Zch_Rosengartenstrasse,132.83,14.68,16.22,968.84,
2013-10-21T00:00+0100,2013,Zch_Rosengartenstrasse,33.15,14.74,18.2,969.08,
2013-10-22T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,14.35,18.99,962.78,
2013-10-23T00:00+0100,2013,Zch_Rosengartenstrasse,155.72,13.96,16.2,963.91,
2013-10-24T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,12.75,16.16,969.02,
2013-10-25T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,13.32,17.29,967.97,
2013-10-26T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,14.49,19.45,968.67,
2013-10-27T00:00+0100,2013,Zch_Rosengartenstrasse,140.97,15.52,17.8,966.45,
2013-10-28T00:00+0100,2013,Zch_Rosengartenstrasse,17.33,17.49,23.2,961.82,
2013-10-29T00:00+0100,2013,Zch_Rosengartenstrasse,77.5,11.09,13.29,968.22,
2013-10-30T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,9.84,11.89,973.75,
2013-10-31T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,7.39,9.99,974.31,
2013-11-01T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,8.39,11.56,969.69,
2013-11-02T00:00+0100,2013,Zch_Rosengartenstrasse,166.22,13.92,17.73,961.25,
2013-11-03T00:00+0100,2013,Zch_Rosengartenstrasse,24.57,9.58,14.08,961.68,
2013-11-04T00:00+0100,2013,Zch_Rosengartenstrasse,60.0,9.05,10.62,951.21,
2013-11-05T00:00+0100,2013,Zch_Rosengartenstrasse,75.48,7.95,10.0,952.68,
2013-11-06T00:00+0100,2013,Zch_Rosengartenstrasse,44.02,11.48,14.26,960.08,
2013-11-07T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,14.45,17.62,965.41,
2013-11-08T00:00+0100,2013,Zch_Rosengartenstrasse,16.33,13.28,17.41,962.69,
2013-11-09T00:00+0100,2013,Zch_Rosengartenstrasse,31.28,9.41,11.46,964.79,
2013-11-10T00:00+0100,2013,Zch_Rosengartenstrasse,34.15,6.62,8.86,960.3,
2013-11-11T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,5.07,7.15,976.94,
2013-11-12T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,3.31,4.84,975.53,
2013-11-13T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,3.54,5.93,977.29,
2013-11-14T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,5.13,5.96,971.46,
2013-11-15T00:00+0100,2013,Zch_Rosengartenstrasse,9.73,4.34,5.15,970.44,
2013-11-16T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,4.92,5.29,975.71,
2013-11-17T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,5.03,5.87,971.12,
2013-11-18T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,4.81,5.99,962.63,
2013-11-19T00:00+0100,2013,Zch_Rosengartenstrasse,169.43,4.29,5.49,955.19,
2013-11-20T00:00+0100,2013,Zch_Rosengartenstrasse,65.68,3.38,4.48,955.34,
2013-11-21T00:00+0100,2013,Zch_Rosengartenstrasse,415.73,2.17,3.37,948.15,
2013-11-22T00:00+0100,2013,Zch_Rosengartenstrasse,160.1,1.87,2.92,952.88,
2013-11-23T00:00+0100,2013,Zch_Rosengartenstrasse,609.82,3.31,5.05,959.47,
2013-11-24T00:00+0100,2013,Zch_Rosengartenstrasse,44.82,4.64,5.4,966.32,
2013-11-25T00:00+0100,2013,Zch_Rosengartenstrasse,22.37,1.58,3.6,975.81,
2013-11-26T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,0.0,1.38,979.53,
2013-11-27T00:00+0100,2013,Zch_Rosengartenstrasse,0.03,-1.36,0.8,979.96,
2013-11-28T00:00+0100,2013,Zch_Rosengartenstrasse,0.0,-1.28,0.65,980.54,
2013-11-29T00:00+0100,2013,Zch_Rosengartenstrasse,80.45,1.77,3.63,975.54,
