,Datum,TotalDailyTraffic,Street,NO,NO2,NOx,O3,O3_max_h1,O3_nb_h1>120,PM10,Year,RainDur,T,T_max_h1,p,StrGlo
0,2012-01-01,8118.0,Zch_Stampfenbachstrasse,7.83,26.54,20.16,22.24,43.46,0.0,18.04,2012.0,95.6,8.12,9.6,968.64,39.61
1,2012-01-02,7537.0,Zch_Stampfenbachstrasse,3.51,17.87,12.16,36.06,53.56,0.0,5.34,2012.0,397.1,6.96,10.67,965.34,12.59
2,2012-01-03,11722.0,Zch_Stampfenbachstrasse,5.85,19.62,14.95,48.88,66.05,0.0,6.92,2012.0,71.47,6.29,9.15,972.62,63.38
3,2012-01-04,12161.0,Zch_Stampfenbachstrasse,2.59,13.25,9.0,59.47,67.55,0.0,7.49,2012.0,400.9,6.07,8.22,970.64,43.04
4,2012-01-05,12310.0,Zch_Stampfenbachstrasse,2.23,10.11,7.08,62.58,71.45,0.0,4.92,2012.0,748.32,5.02,6.84,957.33,11.24
5,2012-01-06,13449.0,Zch_Stampfenbachstrasse,3.2,17.67,11.81,46.12,65.08,0.0,7.11,2012.0,411.73,3.0,3.87,967.72,18.64
6,2012-01-07,9879.0,Zch_Stampfenbachstrasse,2.36,13.24,8.81,47.49,55.74,0.0,7.42,2012.0,321.2,3.43,5.22,973.11,11.5
7,2012-01-08,8337.0,Zch_Stampfenbachstrasse,2.35,13.93,9.17,48.91,54.91,0.0,8.47,2012.0,445.95,4.66,5.48,972.74,13.15
8,2012-01-09,13642.0,Zch_Stampfenbachstrasse,15.42,30.9,28.52,32.23,48.52,0.0,14.64,2012.0,67.7,4.81,6.05,979.16,29.2
9,2012-01-10,14299.0,Zch_Stampfenbachstrasse,43.53,46.11,59.01,17.65,45.46,0.0,18.86,2012.0,96.75,5.31,6.9,982.48,35.48
10,2012-01-11,14379.0,Zch_Stampfenbachstrasse,23.96,39.41,39.82,12.9,25.54,0.0,18.55,2012.0,0.0,2.61,3.25,983.23,15.96
11,2012-01-12,14854.0,Zch_Stampfenbachstrasse,14.96,31.55,28.49,19.11,33.12,0.0,23.99,2012.0,0.0,2.0,3.37,978.69,52.08
12,2012-01-13,15761.0,Zch_Stampfenbachstrasse,25.18,42.94,42.64,13.56,37.84,0.0,20.1,2012.0,157.3,3.21,5.53,976.47,52.57
13,2012-01-14,11146.0,Zch_Stampfenbachstrasse,41.78,47.62,58.4,14.84,52.38,0.0,23.08,2012.0,0.0,0.37,3.28,974.41,95.08
14,2012-01-15,9593.0,Zch_Stampfenbachstrasse,8.23,27.82,21.14,33.13,56.31,0.0,14.58,2012.0,0.0,-0.35,2.13,970.64,83.49
15,2012-01-16,13953.0,Zch_Stampfenbachstrasse,34.0,45.21,50.9,18.78,38.51,0.0,19.71,2012.0,0.0,-1.11,1.48,971.73,82.47
16,2012-01-17,14800.0,Zch_Stampfenbachstrasse,85.47,67.34,103.74,5.61,25.09,0.0,41.36,2012.0,0.0,-0.82,3.23,977.65,80.28
17,2012-01-18,15243.0,Zch_Stampfenbachstrasse,127.78,82.65,145.67,3.19,10.56,0.0,57.9,2012.0,0.0,0.49,4.83,979.94,85.08
18,2012-01-19,15087.0,Zch_Stampfenbachstrasse,17.35,38.42,34.0,31.85,52.74,0.0,20.91,2012.0,324.95,6.63,9.87,975.4,15.18
19,2012-01-20,15491.0,Zch_Stampfenbachstrasse,2.64,14.97,9.94,57.98,64.93,0.0,6.68,2012.0,810.85,5.34,8.03,968.42,37.1
20,2012-01-21,10982.0,Zch_Stampfenbachstrasse,1.57,11.27,7.15,52.82,60.54,0.0,2.79,2012.0,691.18,6.21,9.1,966.5,19.56
21,2012-01-22,9033.0,Zch_Stampfenbachstrasse,1.17,7.65,4.94,61.24,70.25,0.0,2.22,2012.0,255.23,7.66,8.92,965.19,46.11
22,2012-01-23,14062.0,Zch_Stampfenbachstrasse,5.19,24.02,16.72,45.78,64.62,0.0,9.67,2012.0,272.55,6.62,7.47,967.53,22.83
23,2012-01-24,14860.0,Zch_Stampfenbachstrasse,12.89,34.77,28.52,36.12,57.22,0.0,11.8,2012.0,373.22,4.25,5.25,969.9,62.57
24,2012-01-25,15539.0,Zch_Stampfenbachstrasse,24.4,45.26,43.23,25.73,50.72,0.0,13.55,2012.0,564.17,3.04,3.7,969.76,19.03
25,2012-01-26,15948.0,Zch_Stampfenbachstrasse,36.6,44.96,52.86,8.07,20.39,0.0,30.08,2012.0,0.77,3.15,5.17,967.56,23.28
26,2012-01-27,16330.0,Zch_Stampfenbachstrasse,50.93,46.77,65.28,9.47,28.99,0.0,20.71,2012.0,1121.32,4.11,5.07,971.04,13.82
27,2012-01-28,12274.0,Zch_Stampfenbachstrasse,12.53,34.86,28.27,32.04,48.03,0.0,8.48,2012.0,833.02,2.12,3.48,972.97,32.79
28,2012-01-29,9341.0,Zch_Stampfenbachstrasse,8.41,22.09,18.29,21.6,43.51,0.0,32.9,2012.0,0.02,0.72,1.73,969.99,20.62
29,2012-01-30,14231.0,Zch_Stampfenbachstrasse,35.21,48.18,53.42,12.63,34.5,0.0,46.1,2012.0,407.72,0.32,1.17,970.89,13.65
30,2012-01-31,14696.0,Zch_Stampfenbachstrasse,25.17,43.91,43.14,18.45,38.02,0.0,34.32,2012.0,198.05,-1.01,-0.05,966.03,12.34
31,2012-02-01,15089.0,Zch_Stampfenbachstrasse,15.35,38.02,32.19,38.33,52.45,0.0,38.22,2012.0,9.32,-4.3,-3.33,966.78,40.64
32,2012-02-02,14648.0,Zch_Stampfenbachstrasse,13.95,34.6,29.27,41.08,53.3,0.0,37.43,2012.0,14.6,-7.21,-5.43,968.15,58.38
33,2012-02-03,15630.0,Zch_Stampfenbachstrasse,20.87,41.98,38.69,32.34,48.91,0.0,29.29,2012.0,0.0,-9.84,-7.92,975.15,98.29
34,2012-02-04,11352.0,Zch_Stampfenbachstrasse,13.07,39.32,31.04,33.34,59.98,0.0,34.56,2012.0,0.0,-10.56,-7.5,978.84,101.07
35,2012-02-05,8694.0,Zch_Stampfenbachstrasse,11.35,40.0,30.02,28.78,50.39,0.0,46.56,2012.0,0.62,-10.5,-8.15,976.35,111.75
36,2012-02-06,13758.0,Zch_Stampfenbachstrasse,25.67,49.64,46.54,23.19,44.53,0.0,44.85,2012.0,0.0,-10.93,-8.42,977.0,105.7
37,2012-02-07,14345.0,Zch_Stampfenbachstrasse,18.21,43.05,37.12,27.23,38.79,0.0,42.74,2012.0,1.3,-10.64,-9.08,975.48,58.4
38,2012-02-08,14893.0,Zch_Stampfenbachstrasse,18.64,43.81,37.86,25.52,37.67,0.0,67.19,2012.0,2.0,-7.95,-5.93,977.12,81.86
39,2012-02-09,15302.0,Zch_Stampfenbachstrasse,37.25,67.07,64.93,15.72,33.54,0.0,90.55,2012.0,56.38,-6.73,-3.72,978.36,77.77
40,2012-02-10,15568.0,Zch_Stampfenbachstrasse,19.47,45.15,39.22,30.12,55.92,0.0,46.84,2012.0,66.03,-7.25,-5.95,977.68,58.54
41,2012-02-11,10535.0,Zch_Stampfenbachstrasse,6.71,28.6,20.34,59.68,65.48,0.0,49.03,2012.0,28.53,-8.5,-7.55,973.58,67.89
42,2012-02-12,7978.0,Zch_Stampfenbachstrasse,7.15,40.61,26.97,47.68,76.77,0.0,58.08,2012.0,0.0,-9.28,-6.9,974.88,104.53
43,2012-02-13,12988.0,Zch_Stampfenbachstrasse,40.91,77.73,73.45,16.58,48.6,0.0,77.72,2012.0,84.48,-7.34,-3.63,972.18,51.39
44,2012-02-14,13846.0,Zch_Stampfenbachstrasse,17.29,58.22,44.31,25.17,44.02,0.0,42.29,2012.0,493.3,-1.52,0.68,966.36,58.41
45,2012-02-15,12617.0,Zch_Stampfenbachstrasse,3.71,26.78,16.98,42.09,52.42,0.0,10.36,2012.0,1006.75,1.24,2.17,965.29,12.79
46,2012-02-16,13823.0,Zch_Stampfenbachstrasse,32.37,53.43,53.89,22.65,49.74,0.0,13.38,2012.0,44.33,2.32,4.23,972.42,64.18
