,Unnamed: 0.1,Datum,TotalDailyTraffic,Street,NO,NO2,NOx,O3,O3_max_h1,O3_nb_h1>120,PM10,PM2.5,CO,SO2,PN,RainDur,T,T_max_h1,p,StrGlo,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Weekday_0,Weekday_1,Weekday_2,Weekday_3,Weekday_4,Weekday_5,Weekday_6,1.5km_green,1km_green,500m_green,200m_green,1.5km_trees,1km_trees,500m_trees,200m_trees,WD,WVv,WVs,Hr,NO2_tomorrow
0,0,2012-01-01,8118.0,Zch_Stampfenbachstrasse,7.83,26.54,20.16,22.24,43.46,0.0,18.04,,0.31,1.78,,95.6,8.12,9.6,968.64,39.61,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7471,4473,1611,132,9115,4054,1419,152,194.82916666666665,1.9116666666666664,2.015,86.89958333333334,17.87
1,1,2012-01-02,7537.0,Zch_Stampfenbachstrasse,3.51,17.87,12.16,36.06,53.56,0.0,5.34,,0.24,1.64,,397.1,6.96,10.67,965.34,12.59,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,212.11166666666668,2.4629166666666666,2.495833333333333,83.94333333333334,19.62
2,2,2012-01-03,11722.0,Zch_Stampfenbachstrasse,5.85,19.62,14.95,48.88,66.05,0.0,6.92,,0.24,1.4,,71.47,6.29,9.15,972.62,63.38,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,234.135,2.81625,2.8533333333333335,67.19500000000001,13.25
3,3,2012-01-04,12161.0,Zch_Stampfenbachstrasse,2.59,13.25,9.0,59.47,67.55,0.0,7.49,,0.22,1.11,,400.9,6.07,8.22,970.64,43.04,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,251.92333333333332,3.9316666666666666,3.955416666666667,68.97791666666667,10.11
4,4,2012-01-05,12310.0,Zch_Stampfenbachstrasse,2.23,10.11,7.08,62.58,71.45,0.0,4.92,,0.2,0.9,,748.32,5.02,6.84,957.33,11.24,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7471,4473,1611,132,9115,4054,1419,152,250.25583333333336,5.82125,5.8445833333333335,75.58875,17.67
5,5,2012-01-06,13449.0,Zch_Stampfenbachstrasse,3.2,17.67,11.81,46.12,65.08,0.0,7.11,,0.24,1.1,,411.73,3.0,3.87,967.72,18.64,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7471,4473,1611,132,9115,4054,1419,152,276.8725,2.557916666666667,2.5633333333333335,82.44875,13.24
6,6,2012-01-07,9879.0,Zch_Stampfenbachstrasse,2.36,13.24,8.81,47.49,55.74,0.0,7.42,,0.24,1.15,,321.2,3.43,5.22,973.11,11.5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7471,4473,1611,132,9115,4054,1419,152,245.27416666666667,3.0566666666666666,3.064583333333333,76.75041666666667,13.93
7,7,2012-01-08,8337.0,Zch_Stampfenbachstrasse,2.35,13.93,9.17,48.91,54.91,0.0,8.47,,0.23,1.26,,445.95,4.66,5.48,972.74,13.15,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7471,4473,1611,132,9115,4054,1419,152,258.6979166666667,1.9341666666666668,1.9541666666666666,82.80958333333334,30.9
8,8,2012-01-09,13642.0,Zch_Stampfenbachstrasse,15.42,30.9,28.52,32.23,48.52,0.0,14.64,,0.33,1.59,,67.7,4.81,6.05,979.16,29.2,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,235.82000000000002,1.6841666666666668,1.7045833333333331,78.06583333333333,46.11
9,9,2012-01-10,14299.0,Zch_Stampfenbachstrasse,43.53,46.11,59.01,17.65,45.46,0.0,18.86,,0.54,2.28,,96.75,5.31,6.9,982.48,35.48,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,144.51791666666665,1.3204166666666668,1.3708333333333333,82.43166666666666,39.41
10,10,2012-01-11,14379.0,Zch_Stampfenbachstrasse,23.96,39.41,39.82,12.9,25.54,0.0,18.55,,0.46,1.57,,0.0,2.61,3.25,983.23,15.96,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,116.87,1.0366666666666666,1.09375,87.17875,31.55
11,11,2012-01-12,14854.0,Zch_Stampfenbachstrasse,14.96,31.55,28.49,19.11,33.12,0.0,23.99,,0.36,1.45,,0.0,2.0,3.37,978.69,52.08,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7471,4473,1611,132,9115,4054,1419,152,215.40916666666666,1.3733333333333333,1.4216666666666666,82.67958333333333,42.94
12,12,2012-01-13,15761.0,Zch_Stampfenbachstrasse,25.18,42.94,42.64,13.56,37.84,0.0,20.1,,0.45,2.36,,157.3,3.21,5.53,976.47,52.57,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7471,4473,1611,132,9115,4054,1419,152,268.78000000000003,1.0887499999999999,1.12875,80.60833333333333,47.62
13,13,2012-01-14,11146.0,Zch_Stampfenbachstrasse,41.78,47.62,58.4,14.84,52.38,0.0,23.08,,0.57,3.94,,0.0,0.37,3.28,974.41,95.08,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7471,4473,1611,132,9115,4054,1419,152,39.74375,1.7016666666666669,1.7045833333333331,74.69666666666667,27.82
14,14,2012-01-15,9593.0,Zch_Stampfenbachstrasse,8.23,27.82,21.14,33.13,56.31,0.0,14.58,,0.36,3.19,,0.0,-0.35,2.13,970.64,83.49,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7471,4473,1611,132,9115,4054,1419,152,42.41708333333333,2.216666666666667,2.21875,67.36625,45.21
15,15,2012-01-16,13953.0,Zch_Stampfenbachstrasse,34.0,45.21,50.9,18.78,38.51,0.0,19.71,,0.49,3.14,,0.0,-1.11,1.48,971.73,82.47,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,50.42333333333334,1.7070833333333333,1.7220833333333332,66.80875,67.34
16,16,2012-01-17,14800.0,Zch_Stampfenbachstrasse,85.47,67.34,103.74,5.61,25.09,0.0,41.36,,0.77,6.07,,0.0,-0.82,3.23,977.65,80.28,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,111.32583333333334,0.9295833333333333,0.96125,71.47666666666667,82.65
17,17,2012-01-18,15243.0,Zch_Stampfenbachstrasse,127.78,82.65,145.67,3.19,10.56,0.0,57.9,,1.01,8.33,,0.0,0.49,4.83,979.94,85.08,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7471,4473,1611,132,9115,4054,1419,152,178.53833333333333,0.8304166666666667,0.8654166666666666,73.39166666666667,38.42
18,18,2012-01-19,15087.0,Zch_Stampfenbachstrasse,17.35,38.42,34.0,31.85,52.74,0.0,20.91,,0.36,5.67,,324.95,6.63,9.87,975.4,15.18,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7471,4473,1611,132,9115,4054,1419,152,255.21,3.2733333333333334,3.31375,66.84875,14.97
19,19,2012-01-20,15491.0,Zch_Stampfenbachstrasse,2.64,14.97,9.94,57.98,64.93,0.0,6.68,,0.2,1.88,,810.85,5.34,8.03,968.42,37.1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7471,4473,1611,132,9115,4054,1419,152,259.06666666666666,4.710833333333333,4.735416666666667,80.17833333333333,11.27
20,20,2012-01-21,10982.0,Zch_Stampfenbachstrasse,1.57,11.27,7.15,52.82,60.54,0.0,2.79,,0.21,1.36,,691.18,6.21,9.1,966.5,19.56,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7471,4473,1611,132,9115,4054,1419,152,251.78708333333336,4.8429166666666665,4.846666666666667,82.53916666666667,7.65
