"id","lokalisationsname","messwert_von","messwert_bis","temporegime","temporegime_technical","umgesetzt_datum","rechtskraeftig_datum","publiziert_vsi_datum","ausnahmen_fahrverbot","fahrverbot_ssv","objectid"
"976","Rainstrasse","401.36600000","639.05300000","T20","T20","","","","","","5337"
"980","Regina-Kägi-Hof","0.00000000","48.52400000","Fahrverbot","T0","","","","","","5338"
"984","Schienengasse","0.00000000","82.80400000","T30","T30","20150817000000","","","","","5339"
"988","Marsstrasse","0.00000000","96.71900000","T50","T50","","","","","","5340"
"992","Dreiwiesenstrasse","0.00000000","252.73100000","T50","T50","","","","","","5341"
"1012","Malergasse","0.00000000","63.93700000","Fahrverbot","T0","","","","","","5342"
"1031","Staffelhof","0.00000000","70.53800000","T20","T20","","","","","","5343"
"1055","Wettingerwies","0.00000000","64.19300000","T50","T50","","","","","","5344"
"1074","Josefstrasse","430.54000000","497.32000000","T30","T30","","","","","","5345"
"1087","Zinnengasse","0.00000000","51.42900000","Fahrverbot","T0","","","","","","5346"
"1109","Martinstrasse","0.00000000","173.90000000","T30","T30","","","","","","5347"
"1134","Regensbergbrücke","0.00000000","84.23300000","T50","T50","","","","","","5348"
"1146","Wipkingerbrücke","0.00000000","149.50100000","T50","T50","","","","","","5349"
"1159","Mommsenstrasse","0.00000000","59.39900000","T30","T30","","","","","","5350"
"1184","Alte Feldeggstrasse","47.00000000","131.73400000","T30","T30","","","","","","5351"
"1198","Feldgütliweg","0.00000000","75.92100000","T30","T30","","","","","","5352"
"1219","Tobeleggweg","0.00000000","41.33400000","Fahrverbot","T0","","","","","","5353"
"1243","Regensbergstrasse","557.73200000","680.98300000","T50","T50","","","","","","5354"
"1274","Kernstrasse","349.15200000","424.84700000","T30","T30","","","","","","5355"
"1276","Zeunersteig","0.00000000","70.40700000","Fahrverbot","T0","","","","","","5356"
"1309","Saatlenstrasse","0.00000000","59.12700000","T20","T20","20141105000000","","","","","5357"
"1315","Bullingerhof","396.32700000","524.27900000","Fahrverbot","T0","","","","","","5358"
"1346","Idastrasse","0.00000000","267.99500000","T30","T30","","","","","","5359"
"1360","Friedensgasse","0.00000000","93.57300000","T30","T30","","","","","","5360"
"1383","Im Hofgarten","0.00000000","89.22700000","Fahrverbot","T0","","","","","","5361"
"1401","Werikonweg","0.00000000","90.80600000","Fahrverbot","T0","","","","","","5362"
