Datum,TotalDailyTraffic,Street,NO,NO2,NOx,O3,O3_max_h1,O3_nb_h1>120,PM10,PM2.5,CO,SO2,PN
2012-01-01,8118.0,Zch_Stampfenbachstrasse,7.83,26.54,20.16,22.24,43.46,0.0,18.04,,0.31,1.78,
2012-01-02,7537.0,Zch_Stampfenbachstrasse,3.51,17.87,12.16,36.06,53.56,0.0,5.34,,0.24,1.64,
2012-01-03,11722.0,Zch_Stampfenbachstrasse,5.85,19.62,14.95,48.88,66.05,0.0,6.92,,0.24,1.4,
2012-01-04,12161.0,Zch_Stampfenbachstrasse,2.59,13.25,9.0,59.47,67.55,0.0,7.49,,0.22,1.11,
2012-01-05,12310.0,Zch_Stampfenbachstrasse,2.23,10.11,7.08,62.58,71.45,0.0,4.92,,0.2,0.9,
2012-01-06,13449.0,Zch_Stampfenbachstrasse,3.2,17.67,11.81,46.12,65.08,0.0,7.11,,0.24,1.1,
2012-01-07,9879.0,Zch_Stampfenbachstrasse,2.36,13.24,8.81,47.49,55.74,0.0,7.42,,0.24,1.15,
2012-01-08,8337.0,Zch_Stampfenbachstrasse,2.35,13.93,9.17,48.91,54.91,0.0,8.47,,0.23,1.26,
2012-01-09,13642.0,Zch_Stampfenbachstrasse,15.42,30.9,28.52,32.23,48.52,0.0,14.64,,0.33,1.59,
2012-01-10,14299.0,Zch_Stampfenbachstrasse,43.53,46.11,59.01,17.65,45.46,0.0,18.86,,0.54,2.28,
2012-01-11,14379.0,Zch_Stampfenbachstrasse,23.96,39.41,39.82,12.9,25.54,0.0,18.55,,0.46,1.57,
2012-01-12,14854.0,Zch_Stampfenbachstrasse,14.96,31.55,28.49,19.11,33.12,0.0,23.99,,0.36,1.45,
2012-01-13,15761.0,Zch_Stampfenbachstrasse,25.18,42.94,42.64,13.56,37.84,0.0,20.1,,0.45,2.36,
2012-01-14,11146.0,Zch_Stampfenbachstrasse,41.78,47.62,58.4,14.84,52.38,0.0,23.08,,0.57,3.94,
2012-01-15,9593.0,Zch_Stampfenbachstrasse,8.23,27.82,21.14,33.13,56.31,0.0,14.58,,0.36,3.19,
2012-01-16,13953.0,Zch_Stampfenbachstrasse,34.0,45.21,50.9,18.78,38.51,0.0,19.71,,0.49,3.14,
2012-01-17,14800.0,Zch_Stampfenbachstrasse,85.47,67.34,103.74,5.61,25.09,0.0,41.36,,0.77,6.07,
2012-01-18,15243.0,Zch_Stampfenbachstrasse,127.78,82.65,145.67,3.19,10.56,0.0,57.9,,1.01,8.33,
2012-01-19,15087.0,Zch_Stampfenbachstrasse,17.35,38.42,34.0,31.85,52.74,0.0,20.91,,0.36,5.67,
2012-01-20,15491.0,Zch_Stampfenbachstrasse,2.64,14.97,9.94,57.98,64.93,0.0,6.68,,0.2,1.88,
2012-01-21,10982.0,Zch_Stampfenbachstrasse,1.57,11.27,7.15,52.82,60.54,0.0,2.79,,0.21,1.36,
2012-01-22,9033.0,Zch_Stampfenbachstrasse,1.17,7.65,4.94,61.24,70.25,0.0,2.22,,0.19,1.49,
2012-01-23,14062.0,Zch_Stampfenbachstrasse,5.19,24.02,16.72,45.78,64.62,0.0,9.67,,0.25,1.57,
2012-01-24,14860.0,Zch_Stampfenbachstrasse,12.89,34.77,28.52,36.12,57.22,0.0,11.8,,0.32,1.72,
2012-01-25,15539.0,Zch_Stampfenbachstrasse,24.4,45.26,43.23,25.73,50.72,0.0,13.55,,0.4,1.8,
2012-01-26,15948.0,Zch_Stampfenbachstrasse,36.6,44.96,52.86,8.07,20.39,0.0,30.08,,0.51,2.25,
2012-01-27,16330.0,Zch_Stampfenbachstrasse,50.93,46.77,65.28,9.47,28.99,0.0,20.71,,0.54,2.36,
2012-01-28,12274.0,Zch_Stampfenbachstrasse,12.53,34.86,28.27,32.04,48.03,0.0,8.48,,0.36,2.01,
2012-01-29,9341.0,Zch_Stampfenbachstrasse,8.41,22.09,18.29,21.6,43.51,0.0,32.9,,0.47,1.95,
2012-01-30,14231.0,Zch_Stampfenbachstrasse,35.21,48.18,53.42,12.63,34.5,0.0,46.1,,0.63,2.77,
2012-01-31,14696.0,Zch_Stampfenbachstrasse,25.17,43.91,43.14,18.45,38.02,0.0,34.32,,0.51,2.38,
2012-02-01,15089.0,Zch_Stampfenbachstrasse,15.35,38.02,32.19,38.33,52.45,0.0,38.22,,0.48,3.33,
2012-02-02,14648.0,Zch_Stampfenbachstrasse,13.95,34.6,29.27,41.08,53.3,0.0,37.43,,0.49,5.32,
2012-02-03,15630.0,Zch_Stampfenbachstrasse,20.87,41.98,38.69,32.34,48.91,0.0,29.29,,0.48,5.88,
2012-02-04,11352.0,Zch_Stampfenbachstrasse,13.07,39.32,31.04,33.34,59.98,0.0,34.56,,0.47,7.01,
2012-02-05,8694.0,Zch_Stampfenbachstrasse,11.35,40.0,30.02,28.78,50.39,0.0,46.56,,0.5,6.27,
2012-02-06,13758.0,Zch_Stampfenbachstrasse,25.67,49.64,46.54,23.19,44.53,0.0,44.85,,0.61,5.92,
2012-02-07,14345.0,Zch_Stampfenbachstrasse,18.21,43.05,37.12,27.23,38.79,0.0,42.74,,0.55,6.77,
2012-02-08,14893.0,Zch_Stampfenbachstrasse,18.64,43.81,37.86,25.52,37.67,0.0,67.19,,0.67,10.02,
2012-02-09,15302.0,Zch_Stampfenbachstrasse,37.25,67.07,64.93,15.72,33.54,0.0,90.55,,0.8,10.67,
2012-02-10,15568.0,Zch_Stampfenbachstrasse,19.47,45.15,39.22,30.12,55.92,0.0,46.84,,0.54,7.56,
2012-02-11,10535.0,Zch_Stampfenbachstrasse,6.71,28.6,20.34,59.68,65.48,0.0,49.03,,0.47,8.88,
2012-02-12,7978.0,Zch_Stampfenbachstrasse,7.15,40.61,26.97,47.68,76.77,0.0,58.08,,0.54,10.49,
2012-02-13,12988.0,Zch_Stampfenbachstrasse,40.91,77.73,73.45,16.58,48.6,0.0,77.72,,0.77,10.83,
2012-02-14,13846.0,Zch_Stampfenbachstrasse,17.29,58.22,44.31,25.17,44.02,0.0,42.29,,0.5,6.32,
2012-02-15,12617.0,Zch_Stampfenbachstrasse,3.71,26.78,16.98,42.09,52.42,0.0,10.36,,0.27,2.56,
2012-02-16,13823.0,Zch_Stampfenbachstrasse,32.37,53.43,53.89,22.65,49.74,0.0,13.38,,0.48,3.64,
2012-02-17,15126.0,Zch_Stampfenbachstrasse,27.55,56.44,51.61,18.32,53.58,0.0,24.76,,0.46,4.47,
2012-02-18,11623.0,Zch_Stampfenbachstrasse,11.85,46.13,33.63,27.88,56.45,0.0,27.24,,0.42,4.5,
2012-02-19,8547.0,Zch_Stampfenbachstrasse,4.7,31.69,20.34,40.55,64.8,0.0,15.06,,0.32,2.88,
2012-02-20,13417.0,Zch_Stampfenbachstrasse,15.02,35.79,30.76,41.56,63.13,0.0,15.09,,0.38,3.25,
2012-02-21,14215.0,Zch_Stampfenbachstrasse,43.11,64.57,68.33,18.71,49.01,0.0,35.6,,0.57,4.92,
2012-02-22,10376.0,Zch_Stampfenbachstrasse,43.44,73.57,73.3,8.55,27.33,0.0,53.51,,0.71,4.63,
2012-02-23,14610.0,Zch_Stampfenbachstrasse,47.77,80.28,80.28,4.55,9.83,0.0,55.14,,0.67,5.65,
2012-02-24,15878.0,Zch_Stampfenbachstrasse,67.09,78.83,95.01,6.88,25.94,0.0,46.93,,0.75,6.47,
2012-02-25,11541.0,Zch_Stampfenbachstrasse,17.8,37.49,33.88,9.93,22.99,0.0,24.6,,0.42,2.69,
2012-02-26,9195.0,Zch_Stampfenbachstrasse,11.41,31.62,25.69,30.73,62.23,0.0,27.2,,0.37,2.72,
